,DENV1,DENV2,DENV3,DENV4
1970.166667,0.564156,0.108389,0.269478,0.057977
1970.416667,0.583355,0.093421,0.27042,0.052804
1970.666667,0.603023396977,0.0782739217261,0.271282728717,0.04741995258
1970.916667,0.621927621928,0.0636440636441,0.272233272233,0.042195042195
1971.166667,0.639284,0.04997,0.272763,0.037983
1971.416667,0.653994,0.03781,0.272328,0.035868
1971.666667,0.666606,0.028061,0.271678,0.033655
1971.916667,0.680473,0.021666,0.271055,0.026806
1972.166667,0.588536588537,0.024505024505,0.355632355632,0.031326031326
1972.416667,0.444848,0.030186,0.487053,0.037913
1972.666667,0.293766,0.036093,0.623184,0.046957
1972.916667,0.146252,0.042831,0.751486,0.059431
1973.166667,0.086216,0.06142,0.761417,0.090947
1973.416667,0.064034,0.084909,0.71256,0.138497
1973.666667,0.044749,0.109927,0.649624,0.1957
1973.916667,0.028897,0.133712,0.572778,0.264613
1974.166667,0.032284,0.242515,0.504103,0.221098
1974.416667,0.037334,0.411892,0.370732,0.180042
1974.666667,0.034104,0.555967,0.219342,0.190587
1974.916667,0.017988,0.702749,0.078451,0.200812
1975.166667,0.018088981911,0.727234272766,0.0552879447121,0.199388800611
1975.416667,0.023388023388,0.768890768891,0.0511770511771,0.156544156544
1975.666667,0.034666034666,0.758957758958,0.0549600549601,0.151416151416
1975.916667,0.051883,0.741387,0.059859,0.146871
1976.166667,0.047332,0.750662,0.056548,0.145458
1976.416667,0.031546,0.779387,0.046982,0.142085
1976.666667,0.020612,0.805692,0.038497,0.135199
1976.916667,0.016807,0.792139,0.039818,0.151236
1977.166667,0.024653,0.735357,0.075283,0.164707
1977.416667,0.034567965432,0.654093345907,0.139271860728,0.172066827933
1977.666667,0.041581,0.550337,0.227753,0.180329
1977.916667,0.043439043439,0.429524429524,0.338061338061,0.188975188975
1978.166667,0.056585,0.391657,0.407551,0.144207
1978.416667,0.078357,0.402585,0.453593,0.065465
1978.666667,0.102657102657,0.476342476342,0.408867408867,0.012133012133
1978.916667,0.0969589030411,0.677014322986,0.218996781003,0.00702999297001
1979.166667,0.101621,0.761149,0.132876,0.004354
1979.416667,0.155371,0.725349,0.115183,0.004097
1979.666667,0.226833,0.682405,0.087558,0.003204
1979.916667,0.31117968882,0.639126360874,0.048252951747,0.001440998559
1980.166667,0.407116,0.555198,0.036343,0.001343
1980.416667,0.395011,0.565995,0.037373,0.001621
1980.666667,0.480302,0.469884,0.048031,0.001783
1980.916667,0.567724432276,0.371022628977,0.0599619400381,0.001290998709
1981.166667,0.499395,0.403976,0.095058,0.001571
1981.416667,0.451532548467,0.384508615491,0.161993838006,0.001964998035
1981.666667,0.41219,0.457823,0.127765,0.002222
1981.916667,0.367022367022,0.537987537988,0.0933090933091,0.001681001681
1982.166667,0.320336,0.575305,0.102273,0.002086
1982.416667,0.279104,0.590311,0.128102,0.002483
1982.666667,0.23533023533,0.608766608767,0.153728153728,0.002175002175
1982.916667,0.193443806556,0.626387373613,0.179432820567,0.000735999264001
1983.166667,0.163219,0.613119,0.222605,0.001057
1983.416667,0.130457,0.590097,0.277429,0.002017
1983.666667,0.094179,0.567369,0.33441,0.004042
1983.916667,0.057325,0.540193,0.394908,0.007574
1984.166667,0.069848,0.453032,0.459247,0.017873
1984.416667,0.10285,0.403896,0.453536,0.039718
1984.666667,0.138285,0.382993,0.403356,0.075366
1984.916667,0.174297174297,0.35515035515,0.344883344883,0.125669125669
1985.166667,0.186279,0.385673,0.305823,0.122225
1985.416667,0.189443189443,0.460322460322,0.286114286114,0.0641200641201
1985.666667,0.216913,0.467292,0.301268,0.014527
1985.916667,0.265301,0.394492,0.338874,0.001333
1986.166667,0.359623359623,0.293721293721,0.345393345393,0.001262001262
1986.416667,0.494186,0.186672,0.317634,0.001508
1986.666667,0.64824,0.082075,0.26837,0.001315
1986.916667,0.679752,0.000554,0.318598,0.001096
1987.166667,0.757106,0.001781,0.239984,0.001129
1987.416667,0.713204,0.005092,0.280071,0.001633
1987.666667,0.666439,0.00964,0.322181,0.00174
1987.916667,0.684742,0.017076,0.296852,0.00133
1988.166667,0.807719,0.036835,0.153926,0.00152
1988.416667,0.874023,0.074561,0.049622,0.001794
1988.666667,0.851468,0.146395,8.5e-05,0.002052
1988.916667,0.735445735446,0.262406262406,0.000111000111,0.002037002037
1989.166667,0.709466,0.287659,0.000126,0.002749
1989.416667,0.759675,0.236484,0.000129,0.003712
1989.666667,0.809193,0.185983,0.000108,0.004716
1989.916667,0.857403,0.136006,8.6e-05,0.006505
1990.166667,0.797484,0.189736,8e-05,0.0127
1990.416667,0.690133,0.287372,6.9e-05,0.022426
1990.666667,0.649512,0.311105,6.5e-05,0.039318
1990.916667,0.554826554827,0.373884373884,5.50000550001e-05,0.0712340712341
1991.166667,0.547802,0.37544,5.5e-05,0.076703
1991.416667,0.621111,0.331203,0.000155,0.047531
1991.666667,0.696678,0.282117,0.000438,0.020767
1991.916667,0.770675,0.226262,0.000984,0.002079
1992.166667,0.707187292813,0.288897711102,0.002096997903,0.001817998182
1992.416667,0.586646586647,0.407727407727,0.003506003506,0.00212000212
1992.666667,0.494717494717,0.498092498092,0.00511300511301,0.002077002077
1992.916667,0.485262,0.505321,0.007803,0.001614
1993.166667,0.463309,0.520822,0.013704,0.002165
1993.416667,0.433429,0.541252,0.022514,0.002805
1993.666667,0.401508598491,0.562253437747,0.033427966572,0.00280999719
1993.916667,0.367202,0.585025,0.045967,0.001806
1994.166667,0.330511,0.593592,0.074078,0.001819
1994.416667,0.321934,0.544951,0.131106,0.002009
1994.666667,0.319773,0.454047,0.224516,0.001664
1994.916667,0.309292,0.469284,0.220438,0.000986
1995.166667,0.382649,0.413838,0.202224,0.001289
1995.416667,0.489768510231,0.343476656523,0.16448983551,0.002264997735
1995.666667,0.499428,0.350212,0.146165,0.004195
1995.916667,0.645299,0.183671,0.163445,0.007585
1996.166667,0.817571817572,9.80000980001e-05,0.165396165396,0.016934016934
1996.416667,0.799752,0.000804,0.163861,0.035583
1996.666667,0.75424975425,0.003652003652,0.1759001759,0.0661980661981
1996.916667,0.585711,0.01023,0.264527,0.139532
1997.166667,0.484143,0.023993,0.278045,0.213819
1997.416667,0.453597,0.047408,0.261609,0.237386
1997.666667,0.495815,0.09426,0.286864,0.123061
1997.916667,0.524625475375,0.165750834249,0.304583695416,0.00503999496001
1998.166667,0.501921,0.254357,0.241646,0.002076
1998.416667,0.487411487411,0.316125316125,0.193577193577,0.002886002886
1998.666667,0.449743550256,0.350188649811,0.19490980509,0.00515799484201
1998.916667,0.411288,0.386955,0.194365,0.007392
1999.166667,0.366832366832,0.36999036999,0.245869245869,0.017308017308
1999.416667,0.310054689945,0.325152674847,0.328344671655,0.036447963552
1999.666667,0.254401,0.312597,0.363811,0.069191
1999.916667,0.219447,0.339543,0.32113,0.11988
2000.166667,0.204286,0.302927,0.354999,0.137788
2000.416667,0.192998807001,0.239156760843,0.440314559685,0.12752987247
