,DENV1_IV,DENV1_II,DENV2_ASIANII,DENV3_V,DENV2_COSMOPOLITAN,DENV4_II,DENV1_I,DENV2_AMERICAN,DENV1_V,DENV2_ASIANAMERICAN,DENV3_III,DENV4_I,DENV2_ASIANI,DENV3_I,DENV4_III,DENV3_II
1972.0,-0.3534105169657329,-0.3534105169657329,0.20090091682355748,-0.04814907180800587,0.20090091682355748,-0.05434132804981842,-0.3534105169657329,0.20090091682355748,-0.3534105169657329,0.20090091682355748,-0.04814907180800587,-0.05434132804981842,0.20090091682355748,-0.04814907180800587,-0.05434132804981842,-0.04814907180800587
1972.25,-0.3662447238767086,-0.3662447238767086,0.3067592337366053,-0.12989980273525548,0.3067592337366053,-0.06561470712464111,-0.3662447238767086,0.3067592337366053,-0.3662447238767086,0.3067592337366053,-0.12989980273525548,-0.06561470712464111,0.3067592337366053,-0.12989980273525548,-0.06561470712464111,-0.12989980273525548
1972.5,-0.32936114020342533,-0.32936114020342533,0.3945781324266727,-0.2386896788592915,0.3945781324266727,-0.08152731336395534,-0.32936114020342533,0.3945781324266727,-0.32936114020342533,0.3945781324266727,-0.2386896788592915,-0.08152731336395534,0.3945781324266727,-0.2386896788592915,-0.08152731336395534,-0.2386896788592915
1972.75,-0.24865647008449865,-0.24865647008449865,0.467442869108476,-0.3721458810800322,0.467442869108476,-0.10164051794394491,-0.24865647008449865,0.467442869108476,-0.24865647008449865,0.467442869108476,-0.3721458810800322,-0.10164051794394491,0.467442869108476,-0.3721458810800322,-0.10164051794394491,-0.3721458810800322
1973.0,-0.12086369863501933,-0.12086369863501933,0.5201420695813835,-0.5275678556642596,0.5201420695813835,-0.1267105152821041,-0.12086369863501933,0.5201420695813835,-0.12086369863501933,0.5201420695813835,-0.5275678556642596,-0.1267105152821041,0.5201420695813835,-0.5275678556642596,-0.1267105152821041,-0.5275678556642596
1973.25,0.03559384385461273,0.03559384385461273,0.5575600013233073,-0.6916242545567307,0.5575600013233073,-0.15652959062118899,0.03559384385461273,0.5575600013233073,0.03559384385461273,0.5575600013233073,-0.6916242545567307,-0.15652959062118899,0.5575600013233073,-0.6916242545567307,-0.15652959062118899,-0.6916242545567307
1973.5,0.20122100701506368,0.20122100701506368,0.5857788658905525,-0.8505565391594437,0.5857788658905525,-0.19144333374617212,0.20122100701506368,0.5857788658905525,0.20122100701506368,0.5857788658905525,-0.8505565391594437,-0.19144333374617212,0.5857788658905525,-0.8505565391594437,-0.19144333374617212,-0.8505565391594437
1973.75,0.3656380647530499,0.3656380647530499,0.6066132348644957,-0.9950990716085454,0.6066132348644957,-0.23215222800899993,0.3656380647530499,0.6066132348644957,0.3656380647530499,0.6066132348644957,-0.9950990716085454,-0.23215222800899993,0.6066132348644957,-0.9950990716085454,-0.23215222800899993,-0.9950990716085454
1974.0,0.4852784838883859,0.4852784838883859,0.56754369450567,-1.0703451940615754,0.56754369450567,-0.23747698433248035,0.4852784838883859,0.56754369450567,0.4852784838883859,0.56754369450567,-1.0703451940615754,-0.23747698433248035,0.56754369450567,-1.0703451940615754,-0.23747698433248035,-1.0703451940615754
1974.25,0.566625379162004,0.566625379162004,0.4598901074215774,-1.0641339913701504,0.4598901074215774,-0.2173814952134309,0.566625379162004,0.4598901074215774,0.566625379162004,0.4598901074215774,-1.0641339913701504,-0.2173814952134309,0.4598901074215774,-1.0641339913701504,-0.2173814952134309,-1.0641339913701504
