,DENV1/BOLIVIA/FSB3363/2010,DENV2/VIETNAM/AC21/2003,DENV2/SENEGAL/0674/1970,DENV4/DOMINICA/814669DELTA30/1981,DENV4/PUERTO_RICO/BIDV2446/1999,DENV1/VIETNAM/BIDV1937/2008,DENV2/VIETNAM/AC20/2003,DENV2/MALAYSIA/DKD811/2008,DENV4/NICARAGUA/703/1999,DENV2/PERU/IQT2913/1996,DENV1/PERU/IQT6152/2000,DENV4/CAMBODIA/NA/2010,DENV3/MYANMAR/80931/2008,DENV2/TONGA/DELTA30/1974,DENV1/VENEZUELA/OBT1298/2000,DENV4/CAMBODIA/AC33/2011,DENV1/PUERTO_RICO/BIDV852/2006,DENV2/NICARAGUA/BIDV533/2005,DENV4/BRAZIL/NA/2012,DENV2/CAMBODIA/D2T0601085/2009,DENV1/CAMBODIA/BIDV1991/2003,DENV4/INDONESIA/AC36/1973,DENV3/VIETNAM/BIDV1329/2006,DENV1/MYANMAR/61117/2005,DENV3/PUERTO_RICO/429965/2006,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV4/MALAYSIA/P731120/1973,DENV3/PUERTO_RICO/S228762/1963,DENV2/NICARAGUA/BIDV571/2006,DENV3/VIETNAM/BIDV1817/2007,DENV3/CAMBODIA/AC23/2011,DENV3/NICARAGUA/BIDV4753/2009,DENV2/VIETNAM/BIDV735/2006,DENV3/FIJI/29472/1992,DENV3/INDONESIA/SLEMANDELTA30/1978,DENV4/MYANMAR/81087/2008
DENV1/BOLIVIA/FSB3363/2010,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV2/VIETNAM/AC21/2003,0.0466340382307,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV2/SENEGAL/0674/1970,0.899990765537,0.879674946902,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/DOMINICA/814669DELTA30/1981,0.894819466248,0.893249607535,0.332810047096,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/PUERTO_RICO/BIDV2446/1999,0.889371133069,0.887985963616,0.337057900083,0.0186536152923,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV1/VIETNAM/BIDV1937/2008,0.862221811802,0.8962046357,0.31794256164,0.338166035645,0.334102871918,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV2/VIETNAM/AC20/2003,0.0467263828608,0.000369378520639,0.879582602272,0.893526641426,0.888262997507,0.8962046357,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV2/MALAYSIA/DKD811/2008,0.898051528304,0.876812263367,0.123557115154,0.331240188383,0.336319143042,0.318311940161,0.876627574107,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/NICARAGUA/703/1999,0.0488503093545,0.046818727491,0.90183765814,0.848554806538,0.842921784098,0.898513251454,0.0470957613815,0.900544833318,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV2/PERU/IQT2913/1996,0.894357743097,0.86148305476,0.181457198264,0.332810047096,0.330963154493,0.318958352572,0.8612983655,0.18468926032,0.895373534029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DENV1/PERU/IQT6152/2000,0.00415550835719,0.0471881060116,0.900083110167,0.89574291255,0.89029457937,0.861944777911,0.0472804506418,0.898328562194,0.0494043771355,0.894450087727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/CAMBODIA/NA/2010,0.0494967217656,0.0472804506418,0.902391725921,0.856865823252,0.853172038046,0.899436697756,0.0475574845323,0.900914211839,0.0118201126604,0.896851048112,0.0506048573275,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DENV3/MYANMAR/80931/2008,0.0425708745036,0.0481115523132,0.898882629975,0.895558223289,0.890848647151,0.891402714932,0.0483885862037,0.899159663866,0.0495890663958,0.89611229107,0.0425708745036,0.0496814110259,0.0,,,,,,,,,,,,,,,,,,,,,,,
DENV2/TONGA/DELTA30/1974,0.898605596085,0.865084495337,0.175085418783,0.328469849478,0.333087080986,0.321082279065,0.864899806076,0.180164373442,0.898697940715,0.0301043494321,0.898697940715,0.899713731647,0.899713731647,0.0,,,,,,,,,,,,,,,,,,,,,,
DENV1/VENEZUELA/OBT1298/2000,0.00249330501431,0.0467263828608,0.900267799427,0.894911810878,0.889463477699,0.862129467171,0.046818727491,0.898420906824,0.0487579647244,0.894727121618,0.00323206205559,0.0498661002863,0.0432172869148,0.898605596085,0.0,,,,,,,,,,,,,,,,,,,,,
