# BEAST v1.8.2, r6687
# Generated Wed Nov 23 03:51:29 PST 2016 [seed=1479901883794]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-6527386.821125634	-2087207.2820626157	-4440179.539063019	333.63455348454227	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-4440179.539063019	0.0	-2061680.3959577817
5000	-357282.2065161486	-8225.11892886692	-349057.08758728165	1920.7118316903734	5173.169411485222	0.18300072160996425	0.7534563225479364	0.1580885227516984	0.0964969711631978	0.07665660856741872	0.2528219777934067	0.2510028558813777	0.2091701771138115	0.28700498921140405	0.2577555183819952	0.1384210531561216	0.1384210531561216	-349057.08758728165	0.0	-3744.683546198301
10000	-343551.29601744335	-7962.564082776218	-335588.73193466716	2176.4366690339343	5068.195101812472	0.15272853453478377	0.46293912509674834	0.12499630033397101	0.07343050405692965	0.05797734690725535	0.2791793157311743	0.21913717967614485	0.25713391736818236	0.2445495872244985	0.26143191042838965	0.13103609715153136	0.1310360971515314	-335588.73193466716	0.0	-3687.661714965853
15000	-337058.702179987	-7751.73154895273	-329306.97063103423	2227.220046465149	4197.639139426251	0.1304349434370273	0.3837912958268812	0.10505506689691661	0.066433700407016	0.05380704279607658	0.3032645811845651	0.1968595670661015	0.2757006786470552	0.22417517310227805	0.26174508287703074	0.12975185715909549	0.1297518571590954	-329306.97063103423	0.0	-3644.4730526393582
20000	-332229.2362215923	-7275.5719998695495	-324953.66422172275	2310.4963483436622	4020.49558982823	0.1302376838430217	0.37229871920850865	0.10815198292676687	0.06895422485104004	0.05204795525475395	0.30622270865733586	0.19377992184610907	0.27929845902692957	0.22069891046962545	0.2656474267149309	0.11731584879956145	0.11731584879956135	-324953.66422172275	0.0	-3611.0054319454853
25000	-328872.83294054214	-6381.073238560519	-322491.7597019816	2409.137911280304	3713.7216683431416	0.13033437623297395	0.3731147571100062	0.10898103249657308	0.07067802197257642	0.050791107940911184	0.3030075275585356	0.1965650493633592	0.2761533941539727	0.22427402892413248	0.2778628988176018	0.0884182640498553	0.08841826404985523	-322491.7597019816	0.0	-3601.0631735768065
30000	-326200.213875528	-6036.97579962411	-320163.2380759039	2168.7800716875977	3820.4146156481206	0.13160337148738394	0.3752573593025588	0.10478278170886739	0.06676066608849048	0.054004309554033035	0.2950067503138786	0.1958531946146692	0.27953300411223214	0.22960705095922004	0.2855127668078099	0.07916553161893128	0.07916553161893113	-320163.2380759039	0.0	-3591.1818521000105
35000	-324777.64668970736	-5778.084953245534	-318999.5617364618	2318.2674978619957	3496.597263310799	0.13184780139187463	0.3740960018416748	0.11172268291235121	0.06844450124825732	0.04994080578770585	0.305237507791845	0.19618686099355676	0.2743493799730071	0.22422625124159112	0.28919932593326175	0.07109048977978658	0.07109048977978649	-318999.5617364618	0.0	-3582.2637792032897
40000	-322075.9617395575	-5801.358120881974	-316274.60361867555	2360.4861881583197	3615.8990585119886	0.1304168038761358	0.3842808355964774	0.10864908522424079	0.06920393596804071	0.05478088929896513	0.2970303630659162	0.20019372480201425	0.27214571471742105	0.23063019741464857	0.28919932593326175	0.07215580872344363	0.07215580872344367	-316274.60361867555	0.0	-3572.321326852066
45000	-310724.2878567484	-5503.473282994258	-305220.81457375415	2508.0049225528637	3551.84670400761	0.11101983911021229	0.36590690577257395	0.10417572361569043	0.057782216851234504	0.0457108989972324	0.29584385761511267	0.20379911735509706	0.2718118419446656	0.22854518308512473	0.2965760086923645	0.05974209763851262	0.05974209763851265	-305220.81457375415	0.0	-3573.0327222419055
50000	-308548.78593487083	-5374.535810990051	-303174.2501238808	2656.1504148437925	3440.6190920596164	0.11337544717806967	0.3726436393776698	0.09700768362548631	0.05734466663637649	0.047268533700882354	0.2999188694543196	0.19984983200248146	0.2735839162372293	0.2266473823059697	0.2987579832064042	0.055517121218700526	0.0555171212187005	-303174.2501238808	0.0	-3573.5427968085837
55000	-307855.8318665265	-5256.251036905111	-302599.5808296214	2784.1335579136858	3612.313430826315	0.11378113155444465	0.3726436393776698	0.10176220493775176	0.055410525391917174	0.04695334783710505	0.2934031908589588	0.20432538114671125	0.2766268552557901	0.22564457273853994	0.30114424452810545	0.05078981600621482	0.05078981600621483	-302599.5808296214	0.0	-3574.642308073421
