virus_strain	serum_strain	serum_id	source	titer
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	18
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	24
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	12
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	19
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	10
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	18
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	20
DENV2/TONGA/DELTA30/1974	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	12
DENV2/VIETNAM/BIDV735/2006	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	13
DENV2/VIETNAM/BIDV735/2006	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	14
DENV2/VIETNAM/BIDV735/2006	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	11
DENV2/VIETNAM/BIDV735/2006	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	13
DENV2/VIETNAM/AC21/2003	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	10
DENV2/VIETNAM/AC21/2003	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	12
DENV2/VIETNAM/AC21/2003	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	13
DENV2/VIETNAM/AC21/2003	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	15
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	20
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	17
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	11
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	13
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	10
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	16
DENV2/VIETNAM/AC20/2003	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	14
DENV3/FIJI/29472/1992	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	10
DENV3/FIJI/29472/1992	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	11
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	14
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	18
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	12
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	13
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	11
DENV3/NICARAGUA/BIDV4753/2009	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	10
DENV3/PUERTO_RICO/429965/2006	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	11
DENV3/PUERTO_RICO/429965/2006	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	13
DENV3/PUERTO_RICO/429965/2006	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	11
DENV3/PUERTO_RICO/429965/2006	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	18
DENV3/PUERTO_RICO/429965/2006	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	10
DENV3/PUERTO_RICO/S228762/1963	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	23
DENV3/PUERTO_RICO/S228762/1963	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	14
DENV3/PUERTO_RICO/S228762/1963	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	13
DENV3/PUERTO_RICO/S228762/1963	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	18
DENV3/INDONESIA/SLEMANDELTA30/1978	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	12
DENV3/INDONESIA/SLEMANDELTA30/1978	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	12
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	25
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	30
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	29
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	16
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	26
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	17
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	18
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	17
DENV3/VIETNAM/BIDV1329/2006	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	17
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	15
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	14
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	19
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	20
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	13
DENV3/VIETNAM/BIDV1817/2007	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	12
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	21
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	25
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	49
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	13
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	15
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	15
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	20
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	18
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	14
DENV4/CAMBODIA/AC33/2011	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	16
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	32
