,DENV4/CAMBODIA/NA/2010,DENV4/CAMBODIA/AC33/2011,DENV4/INDONESIA/AC36/1973,DENV4/DOMINICA/814669DELTA30/1981,DENV4/NICARAGUA/703/1999,DENV4/BRAZIL/NA/2012,DENV4/PUERTO_RICO/BIDV2446/1999,DENV2/SENEGAL/0674/1970,DENV2/MALAYSIA/DKD811/2008,DENV2/PERU/IQT2913/1996,DENV2/TONGA/DELTA30/1974,DENV2/VIETNAM/BIDV735/2006,DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/AC21/2003,DENV2/VIETNAM/AC20/2003,DENV2/NICARAGUA/BIDV533/2005,DENV2/NICARAGUA/BIDV571/2006,DENV3/CAMBODIA/AC23/2011,DENV3/NICARAGUA/BIDV4753/2009,DENV3/PUERTO_RICO/429965/2006,DENV3/FIJI/29472/1992,DENV3/INDONESIA/SLEMANDELTA30/1978,DENV3/MYANMAR/80931/2008,DENV3/VIETNAM/BIDV1329/2006,DENV3/VIETNAM/BIDV1817/2007,DENV1/VIETNAM/BIDV1937/2008,DENV1/MYANMAR/61117/2005,DENV1/CAMBODIA/BIDV1991/2003,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/PERU/IQT6152/2000,DENV1/BOLIVIA/FSB3363/2010,DENV1/PUERTO_RICO/BIDV852/2006
DENV4/MALAYSIA/P731120/1973,1.08746284125,0.447458976971,,0.197939377612,0.584962500721,,,,,,1.58072550783,,,,,,,,,,2.29768054864,0.902024840437,,,,,,,0.447458976971,,,3.44745897697
DENV4/THAILAND/D85052/1985,0.280107919193,-0.341036917835,-0.241008099504,-1.670123152,,-1.7589919005,-1.88752527074,,,,1.04949499105,5.75731423956,,4.7356768982,1.45943161864,,,,,,,0.24251538635,,3.74250377771,3.32192809489,,,1.49476469175,-0.0473057147784,,,3.09953567355
DENV4/CAMBODIA/NA/2010,0.0,0.0995356735509,,-0.464898013806,0.432959407276,,,,,,2.08174919006,,,5.08360020162,,,,,,,,0.554101537016,,,,,,,0.404390255079,,,3.58496250072
DENV4/CAMBODIA/AC33/2011,0.0,0.0,,0.143222207903,0.847996906555,,,,,,1.4194446008,,,,,,,,,,,0.902024840437,,,,,,,,7.72996056102,,
DENV4/INDONESIA/S1228/1978,,,-0.184424571137,,,,-1.80735492206,,,,,5.75731423956,,4.63614122465,1.45943161864,0.13750352375,,,,,2.29768054864,,,3.74250377771,3.0,,,,,,,3.20645087747
DENV4/INDONESIA/AC36/1973,1.08746284125,-0.616671360448,0.0,-1.67410300291,-1.31120168829,0.241008099504,-1.26303440583,,,,1.78598358239,,,,,,,,,,,0.493559995081,,,,,,,0.134301091712,,,
DENV4/DOMINICA/814669DELTA30/1981,,-0.793549122533,0.552541023029,0.0,-0.704544116474,-0.299560281859,-0.48542682717,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/NICARAGUA/703/1999,,0.321928094887,0.758991900496,,0.0,-0.106915203917,-0.584962500721,,,,,,,,,,,,,,,,,,,,,,,,,
DENV4/BRAZIL/NA/2012,,,,,-0.289506617195,0.0,-1.0,,,1.07038932789,2.79795622406,5.75731423956,,,,,,,,,,,,,,,,,,,,
DENV4/PUERTO_RICO/BIDV2446/1999,,,,-2.17714874162,,-0.106915203917,0.0,,,,1.8719568055,,,,,,,,,,,,,,,,,,0.584962500721,,,
DENV4/PUERTO_RICO/347751/1998,,0.206450877467,0.0,-0.36994960975,-0.637429920615,-0.621488376746,-1.43295940728,,,,2.79795622406,,,,,,,,,,,,,,,,,,0.447458976971,,,3.58496250072
DENV2/SENEGAL/0674/1970,1.62803122261,0.321928094887,,,,0.241008099504,,0.0,-0.331205908475,0.691877704638,1.47602812917,3.04682085675,0.896164189015,5.15071439748,-0.0848888975865,-0.628031222613,-0.071553261025,2.52925306813,0.807354922058,2.47643804394,,,0.552541023029,,2.73696559417,,3.64385618977,0.784271308945,,4.39367717315,0.387023123109,3.58496250072
DENV2/MALAYSIA/DKD811/2008,,,,1.01594154387,,,,,0.0,0.392317422779,0.622213896018,1.2167458582,2.60665757182,,0.520832163301,,0.673189683733,,,,,0.752647216398,,,3.44745897697,,,,-0.20163386117,,,
DENV2/PERU/IQT2913/1996,1.76553474636,,,0.807354922058,,,,,-0.0458036896131,0.0,0.613852287443,0.505939424496,,3.84259210211,-0.599462070416,-1.0,-0.457206953523,,,,,0.0395283641866,,4.12101540096,3.44745897697,,,,-0.496831590442,5.96442581466,,2.81942775436
DENV2/TONGA/DELTA30/1974,1.18057224564,,,0.497810551626,,,,,0.0962153152593,0.584962500721,0.0,1.34946711849,1.06608919046,4.7356768982,-0.909802191028,-0.34792330342,-0.161751069997,3.18132976471,,3.54056838136,,-0.0648082956281,0.552541023029,3.98351187721,3.58496250072,4.86624861111,,,-0.357812630586,6.46692615518,,
DENV2/VIETNAM/BIDV735/2006,,,,0.835369298227,,,,,-0.175086706558,-0.131244533278,1.18442457114,0.0,1.81816167701,,0.0901978089716,,,,,,,,,,,,,,0.447458976971,,,
DENV2/INDIA/742295/1974,,,,1.01594154387,,,,,,0.304854581528,1.24541520103,1.16962194608,1.74416109557,5.22110372537,0.874469117916,0.13750352375,-0.139724763667,,,,,0.850494539797,,,,,,1.36923380967,0.0995356735509,7.35144893776,,
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,,,,1.18586654531,,,,,,0.0703893278914,1.40439025508,5.2167458582,2.48112668974,,-1.10535300015,-0.710493382805,,,,,,,,,,,,,0.447458976971,7.59245703727,,
DENV2/CAMBODIA/BIDV4265/2007,,,,,,,,,,,2.32980738832,0.983126181436,,,1.72246602447,,1.29768054864,,,,,,,,,,,,,,,
DENV2/CAMBODIA/BIDV3924/2008,,,,0.984232684142,,,,,,,0.753562104697,1.53726575869,,,1.45943161864,,1.97575245375,,,,,-0.0979751595633,,,,,,,-0.0473057147784,,,
DENV2/CAMBODIA/D2T0601085/2009,,,,,,,,,,,,1.59469403874,,,1.04439411936,0.0,0.928446738975,,,,,,,,,,,,,6.96442581466,,
DENV2/VIETNAM/AC21/2003,1.18057224564,0.0,,0.863938450424,1.05444778402,0.241008099504,-0.378511623254,0.0931094043915,-2.02308361311,-0.855610090665,-2.44374531216,-3.14725196416,0.0,0.0,-2.1747744011,-2.49476469175,-2.83845613935,2.59636726399,0.48542682717,3.19264507794,2.0752881273,0.407260148687,0.758991900496,4.12101540096,2.81942775436,4.75077139369,4.74339186333,1.36923380967,-0.168397531696,4.80396114246,0.765534746363,0.678071905113
