,DENV1,DENV2,DENV3,DENV4
1977.1666670000002/1972.1666670000002,0.041424750400413476,24.49391319812104,0.2033569083452022,6.646419432318586
1977.4166670000002/1972.4166670000002,0.0766930253699878,17.935599381502833,0.2734602274014951,5.006886532030443
1977.6666670000002/1972.6666670000002,0.14221802548912352,12.842069337062703,0.35568136870210587,4.04406984908704
1977.9166670000002/1972.9166670000002,0.2961480068359884,8.875461518899197,0.4337408172475089,3.355639439178469
1978.1666670000002/1973.1666670000002,0.6430025504170798,5.8897889173345765,0.5064444181438927,1.7258995663443417
1978.4166670000002/1973.4166670000002,1.161838684368414,4.413787145818936,0.5884124051393368,0.5724495333603407
1978.6666670000002/1973.6666670000002,2.1755072590519506,3.620671321453982,0.674064596864946,0.023693512425906792
1978.9166670000002/1973.9166670000002,3.223531020231173,4.321762320403159,0.40201198025556745,0.003911195564051839
1979.1666670000002/1974.1666670000002,3.323895323895324,2.47096563033321,0.33802533547032915,0.002044535514171215
1979.4166670000002/1974.4166670000002,4.610957767438652,1.5851624435570697,0.41942879436907615,0.0018163615808593264
1979.6666670000002/1974.6666670000002,7.895635164417902,1.1088676464954035,0.5600099741518103,0.0012401135136513176
1979.9166670000002/1974.9166670000002,17.255137492892086,0.9079441536994165,0.728870471469718,0.00046040561694286365
1980.1666670000002/1975.1666670000002,19.967408463614603,0.7601012328797336,0.9978054650998158,0.0005040246367242432
1980.4166670000002/1975.4166670000002,17.606273764258553,0.6006120917485073,1.3986090575543508,0.0008579362376548871
1980.6666670000002/1975.6666670000002,13.829950312856242,0.48617173422397625,1.7162135793040227,0.0008837310284355522
1980.9166670000002/1975.9166670000002,11.033112582781458,0.3678836608610456,2.130534439259272,0.0006937603196847552
1981.1666670000002/1976.1666670000002,11.347430449792684,0.4117712034703014,2.15015217541325,0.0007595601649737041
1981.4166670000002/1976.4166670000002,14.580138093139416,0.5126893725703384,2.1146438398043412,0.0010295277315342153
1981.6666670000002/1976.6666670000002,18.44432740838271,0.6180073298259572,2.0403905472032644,0.0010364394204886922
1981.9166670000002/1976.9166670000002,20.26253792611101,0.7427985854766264,1.6921880669742366,0.0006901073116869673
1982.1666670000002/1977.1666670000002,12.128484776904633,0.8434525508133112,1.0811042278108354,0.0006177154434890387
1982.4166670000002/1977.4166670000002,7.813745673550258,0.9485020677455968,0.8038332512843266,0.0007138221540004354
1982.6666670000002/1977.6666670000002,5.597683912661561,1.127163780246585,0.632283444754373,0.0006204127277818346
1982.9166670000002/1977.9166670000002,4.516029132853508,1.4266193934054276,0.5362506113283484,0.0005216914296446235
1983.1666670000002/1978.1666670000002,2.933400028583679,1.5057062989463237,0.565444998838123,0.002220207219340472
1983.4166670000002/1978.4166670000002,1.7615958052513805,1.3639382084692804,0.6582467462104338,0.016583659354011723
1983.6666670000002/1978.6666670000002,0.9735173217821284,1.2224854396607017,0.7704856709407927,0.7714023410603627
1983.9166670000002/1978.9166670000002,0.6205113503641885,0.8010033098576967,1.7188319865673207,7.1468750000000005
1984.1666670000002/1979.1666670000002,0.6490891658676894,0.618485414112689,3.00800830588951,37.99334811529934
1984.4166670000002/1979.4166670000002,0.6163743876072872,0.5845554511911988,3.4067809529695254,102.2756575175482
1984.6666670000002/1979.6666670000002,0.5793216073190374,0.5931816671782415,4.050352201469708,300.31627179555113
1984.9166670000002/1979.9166670000002,0.5366690800565328,0.5948458600383854,6.17737344185197,1205.9675880637387
1985.1666670000002/1980.1666670000002,0.4597781178270849,0.7642160240832758,5.205640297978007,1048.23
1985.4166670000002/1980.4166670000002,0.47148380463712275,0.8566709421112263,4.243243606333759,475.7333001614969
1985.6666670000002/1980.6666670000002,0.49094051779205655,0.9551478806051521,3.5475044412906054,235.51908396946567
1985.9166670000002/1980.9166670000002,0.5452153006049216,1.2557849481298882,2.5655794801938048,1.0
1986.1666670000002/1981.1666670000002,0.9084697486613096,0.6961310607940148,2.1729728418699694,0.93458037383271
1986.4166670000002/1981.4166670000002,1.1312523300452406,0.3438226019021229,2.9015372753120325,0.7092198581560285
1986.6666670000002/1981.6666670000002,1.4302683615147027,0.14170961141893224,3.911319025342522,0.7697841726618705
1986.9166670000002/1981.9166670000002,1.8577627843202886,0.010691577205442924,5.526406077686558,1.0
1987.1666670000002/1982.1666670000002,1.9588944513412854,0.005243539125053371,5.323921307614525,1.0
1987.4166670000002/1982.4166670000002,2.430015020653398,0.009590008786323314,3.2571243401649346,0.8130081300813006
1987.6666670000002/1982.6666670000002,3.118942795685354,0.01694248635062192,1.8700189283805302,0.8849548672575221
1987.9166670000002/1982.9166670000002,3.8682678496200906,0.030670577281783542,1.2593079357393604,0.9999999999999999
1988.1666670000002/1983.1666670000002,5.057180267965895,0.06508633852587085,0.5967187831884968,0.3003003003003003
1988.4166670000002/1983.4166670000002,6.718229718658155,0.13401546702410874,0.09772827041264265,0.08051529790660224
1988.6666670000002/1983.6666670000002,8.716623306904527,0.2741211800035329,0.0011388326964861016,0.033620946146980066
1988.9166670000002/1983.9166670000002,12.392579254889547,0.5084678870880784,0.0006359873057060725,0.018218936743914883
1989.1666670000002/1984.1666670000002,9.737188955800478,0.6860653158271998,0.0004001187165422708,0.017741464838050773
1989.4166670000002/1984.4166670000002,6.946736596739355,0.6923499388544704,0.0003498217468802202,0.025001296747757532
1989.6666670000002/1984.6666670000002,5.402764414991346,0.6470879985559768,0.0002859744395041879,0.03473704139659502
1989.9166670000002/1984.9166670000002,4.47224588882152,0.6137267744301886,0.00022950819672137998,0.040730698110194176
1990.1666670000002/1985.1666670000002,4.210943921061243,0.5449668955467911,0.0002589493345693608,0.10616001381376222
1990.4166670000002/1985.4166670000002,3.376887213899329,0.6096335500085582,0.00022761014034949691,0.35856256565148786
1990.6666670000002/1985.6666670000002,2.6653883674169943,0.7520283807235241,0.00019583522407796484,1.2943623007487115
1990.9166670000002/1985.9166670000002,1.7687325584961207,1.027896895411472,0.00017497390475385997,712.94
1991.1666670000002/1986.1666670000002,1.0757690647565943,1.7147858061460897,0.00020356422451283385,773.0300000000001
1991.4166670000002/1986.4166670000002,1.1151439254534021,2.3625585522679002,0.0005879441552704046,490.03999999999996
1991.6666670000002/1986.6666670000002,1.1618530768155775,3.934530335606785,0.0018777428131448088,230.7943925233645
1991.9166670000002/1986.9166670000002,1.218588648435932,35.76948512045347,0.004379060331256513,1.9699999999999998
1992.1666670000002/1987.1666670000002,1.203294763544058,90.88563586459287,0.007513066725649249,1.33
1992.4166670000002/1987.4166670000002,0.8782429524333462,70.94987916644496,0.013957243384000484,1.44999855
1992.6666670000002/1987.6666670000002,0.6898705977673008,46.08236069277108,0.027220073505358967,1.3499999999999999
1992.9166670000002/1987.9166670000002,0.6435844278535159,25.845058019063412,0.04802577975520219,1.0000000000000002
1993.1666670000002/1988.1666670000002,0.5617174601301319,12.787324363239167,0.14191087139883465,1.18
1993.4166670000002/1988.4166670000002,0.48573618259118395,6.744851042388362,1.132397529477822,1.5700000000000005
1993.6666670000002/1988.6666670000002,0.4724122275729663,3.5815024860033513,118.93169787894738,1.3982314867256636
1993.9166670000002/1988.9166670000002,0.5040396266356744,2.075334719755879,253.31974668025327,0.7999992000007999
1994.1666670000002/1989.1666670000002,0.48528488059675357,1.7832006325643914,590.0323769999998,0.32894703947401305
1994.4166670000002/1989.4166670000002,0.45873855357653937,1.6950948400229913,1216.440706886568,0.11410799792530707
1994.6666670000002/1989.6666670000002,0.4434940824954123,1.8195940268448547,1825.2105641699668,0.04497036923081421
1994.9166670000002/1989.9166670000002,0.4317627720325471,1.9527309272278417,2890.1197732329033,0.020358326547251632
1995.1666670000002/1990.1666670000002,0.4787874718510386,1.9671960855012687,2428.3528348018654,0.01860170677571954
1995.4166670000002/1990.4166670000002,0.6227666581664488,1.6105124321805413,2065.972972972973,0.0409469256242728
1995.6666670000002/1990.6666670000002,0.6948884747200084,1.4148009654787441,2012.316298027709,0.058745520120254066
1995.9166670000002/1990.9166670000002,1.0961180655655738,0.5739998123802807,2760.157932568938,0.08032942080693946
1996.1666670000002/1991.1666670000002,1.4813430431071248,0.000268041080721329,3032.9787851999995,0.17419746366893907
1996.4166670000002/1991.4166670000002,1.282409569883626,0.0025368390032480103,947.8823038135587,0.5837488491959835
1996.6666670000002/1991.6666670000002,1.1019646407306283,0.012857988198720513,283.6026337390316,2.1013949425428153
1996.9166670000002/1991.9166670000002,0.7964985454918028,0.0464097688095364,170.51455696202535,537.5786802030458
1997.1666670000002/1992.1666670000002,0.7098298622639997,0.08061030689833364,87.62111999999999,1550.248120300752
1997.4166670000002/1992.4166670000002,0.7864584874475615,0.10703256362313344,50.0308351548021,1829.098380822519
1997.6666670000002/1992.6666670000002,0.9735042616148629,0.18383141433762476,36.79400537254348,1184.2666666666667
1997.9166670000002/1992.9166670000002,1.118478271949765,0.33156281756538714,27.191669843690423,6.759999999999998
1998.1666670000002/1993.1666670000002,1.0121022030511702,0.5463435184304375,13.37581111292873,10.09322033898305
1998.4166670000002/1993.4166670000002,1.0093746185083068,0.6054254444942476,7.767453391511304,16.745222929936304
1998.6666670000002/1993.6666670000002,1.0425240909780527,0.6290538298377236,5.087683543550691,29.24680619623178
1998.9166670000002/1993.9166670000002,1.074684352254392,0.6563416951430118,3.5408653087004582,83.34000000000002
1999.1666670000002/1994.1666670000002,0.977575368918922,0.6299319465264825,2.8175768030125226,195.48019548000008
1999.4166670000002/1994.4166670000002,0.8874601500734518,0.7451783786706822,1.6119299825637108,388.06363636363636
1999.6666670000002/1994.6666670000002,0.7820848627756033,0.7848973502877034,1.4547512957638582,683.8684210526316
1999.9166670000002/1994.9166670000002,0.6722636759537128,0.8182498264161085,1.2851545122427979,1262.3299999999997
2000.1666670000002/1995.1666670000002,0.576648326009122,0.7120822329626904,1.7894159993190657,668.9075436528427
2000.4166670000002/1995.4166670000002,0.43361735122820316,0.6760928704107969,2.718070145602491,135.15956284153006
2000.6666670000002/1995.6666670000002,0.3720786559802967,0.5345335840412434,3.6282673822606526,46.69906223358909
2000.9166670000002/1995.9166670000002,0.2850613482790768,0.9078504468975571,3.2254681288285756,20.962591215999943
2001.1666670000002/1996.1666670000002,0.2990646907964234,1677.1414141413977,2.7202273190526802,10.030595574048354
2001.4166670000002/1996.4166670000002,0.3835073309523246,257.59778577473224,2.150184941171703,4.163943290650824
