substitution_model	dengue	0.000	0.000	0.000	7.474	35.346	0.039
tree_model	dengue	0.000	0.000	0.000	0.623	0.819	0.649
substitution_model	dengue	0.000	0.000	0.625	0.584	0.780	0.686
tree_model	dengue	0.000	0.000	0.625	0.623	0.815	0.652
substitution_model	dengue	0.000	0.000	1.250	0.574	0.750	0.698
tree_model	dengue	0.000	0.000	1.250	0.623	0.815	0.652
substitution_model	dengue	0.000	0.000	1.875	0.561	0.731	0.706
tree_model	dengue	0.000	0.000	1.875	0.624	0.815	0.651
substitution_model	dengue	0.000	0.000	2.500	0.549	0.719	0.709
tree_model	dengue	0.000	0.000	2.500	0.624	0.815	0.651
substitution_model	dengue	0.000	1.875	0.000	2.588	12.484	0.050
tree_model	dengue	0.000	1.875	0.000	0.629	0.824	0.644
substitution_model	dengue	0.000	1.875	0.625	0.611	0.812	0.676
tree_model	dengue	0.000	1.875	0.625	0.628	0.823	0.644
substitution_model	dengue	0.000	1.875	1.250	0.581	0.770	0.691
tree_model	dengue	0.000	1.875	1.250	0.627	0.821	0.645
substitution_model	dengue	0.000	1.875	1.875	0.565	0.753	0.695
tree_model	dengue	0.000	1.875	1.875	0.626	0.820	0.646
substitution_model	dengue	0.000	1.875	2.500	0.558	0.744	0.697
tree_model	dengue	0.000	1.875	2.500	0.625	0.819	0.646
substitution_model	dengue	0.000	3.750	0.000	2.068	9.236	0.064
tree_model	dengue	0.000	3.750	0.000	0.632	0.830	0.638
substitution_model	dengue	0.000	3.750	0.625	0.626	0.839	0.662
tree_model	dengue	0.000	3.750	0.625	0.631	0.828	0.640
substitution_model	dengue	0.000	3.750	1.250	0.593	0.788	0.682
tree_model	dengue	0.000	3.750	1.250	0.630	0.827	0.641
substitution_model	dengue	0.000	3.750	1.875	0.575	0.771	0.687
tree_model	dengue	0.000	3.750	1.875	0.629	0.825	0.641
substitution_model	dengue	0.000	3.750	2.500	0.566	0.763	0.687
tree_model	dengue	0.000	3.750	2.500	0.628	0.824	0.642
substitution_model	dengue	0.000	5.625	0.000	1.966	8.581	0.068
tree_model	dengue	0.000	5.625	0.000	0.635	0.836	0.634
substitution_model	dengue	0.000	5.625	0.625	0.634	0.859	0.651
tree_model	dengue	0.000	5.625	0.625	0.633	0.833	0.636
substitution_model	dengue	0.000	5.625	1.250	0.600	0.803	0.674
tree_model	dengue	0.000	5.625	1.250	0.632	0.831	0.637
substitution_model	dengue	0.000	5.625	1.875	0.582	0.785	0.680
tree_model	dengue	0.000	5.625	1.875	0.631	0.830	0.637
substitution_model	dengue	0.000	5.625	2.500	0.569	0.774	0.681
tree_model	dengue	0.000	5.625	2.500	0.631	0.829	0.638
substitution_model	dengue	0.000	7.500	0.000	1.645	6.575	0.088
tree_model	dengue	0.000	7.500	0.000	0.637	0.840	0.630
substitution_model	dengue	0.000	7.500	0.625	0.640	0.876	0.642
tree_model	dengue	0.000	7.500	0.625	0.636	0.837	0.632
substitution_model	dengue	0.000	7.500	1.250	0.605	0.815	0.668
tree_model	dengue	0.000	7.500	1.250	0.634	0.835	0.633
substitution_model	dengue	0.000	7.500	1.875	0.586	0.795	0.675
tree_model	dengue	0.000	7.500	1.875	0.633	0.834	0.634
substitution_model	dengue	0.000	7.500	2.500	0.574	0.784	0.676
tree_model	dengue	0.000	7.500	2.500	0.633	0.833	0.634
substitution_model	dengue	0.375	0.000	0.000	1.794	8.724	0.058
tree_model	dengue	0.375	0.000	0.000	0.622	0.812	0.651
substitution_model	dengue	0.375	0.000	0.625	0.560	0.727	0.702
tree_model	dengue	0.375	0.000	0.625	0.620	0.809	0.653
