,DENV1_I,DENV1_II,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_III
1977.166667/1972.166667,0.04360958227310406,0.0023707978958552693,0.04358505199571456,0.04605905262120239,74.73634381709248,6.183902964931345,6.72741953099787,0.10148185758651171,78.42427771221543,0.45865611853111854,0.26601261650665103,0.40861606039840037,0.0029273612765422182,13.613076209408115,3.3307567919604346,5.075083913073359
1977.416667/1972.416667,0.06325788205031783,0.0033006052869619753,0.06328901414780509,0.06361656496569451,37.53843783303808,5.707827896404028,6.212425955966882,0.06762181609396223,45.512368417209714,0.5004114785461472,0.24276203651892558,0.45709747500191544,0.0030295650788674765,11.94791050977199,3.2933432837392456,4.644657162666297
1977.666667/1972.666667,0.09566455012882019,0.004866511193617526,0.09579938314476456,0.09336970878066742,15.9226849810379,4.949390793254841,5.388508000151852,0.046051983717547734,22.422679128271852,0.5370241197412364,0.22264876967049788,0.50168583890386,0.002953929061729508,10.226400081556505,3.1879669465997007,4.197370864563911
1977.916667/1972.916667,0.17584905159551614,0.008575291548337112,0.17586847119283414,0.15523960298205455,4.932344124016442,4.045644100394018,4.405000778032659,0.028810118617402295,9.093316628422363,0.5658004259757851,0.20541211145270638,0.5390417469355995,0.0026590884725894237,8.012542062080215,2.8488526079028023,3.5240880565488597
1978.166667/1973.166667,0.4262163766443352,0.019709816730314862,0.425800071062649,0.3506123752376582,1.1792326564658002,3.378654478672207,3.6795195767391986,0.021227381522276923,4.091249684420202,0.5642958833568876,0.22289045625293966,0.5467843986232215,0.002813555814966311,5.5007805849157085,1.7368699523363933,2.1845848320153407
1978.416667/1973.416667,1.0842088721908152,0.0470033342687382,1.0841629861705442,0.8281761201435949,0.2712491179956331,2.9132594940781105,3.1726085368977976,0.016449089183415852,2.1309364705335296,0.6330093535378724,0.2732143912187804,0.6209673565129583,0.004236639122545588,2.824307464581826,0.7053937606650204,0.9334628609812039
1978.666667/1973.666667,2.2195632055352683,0.08882820877580451,2.2188223152105016,1.5481579757004365,0.16457725406427692,2.3213884686871116,2.529785475915531,0.010107303807792827,0.9048493453114701,0.9269603980082115,0.3484733599759427,0.9128107807350369,0.0060471048422622966,0.700886884995082,0.13845236684796583,0.19308481499624844
1978.916667/1973.916667,3.7657245552004444,0.13557035220363584,3.7603028259004856,2.3831246514235382,0.016016018856109808,2.4899666253372783,2.7186200569605985,0.00416745669657667,0.25982762265765474,0.7547898862791929,0.24989639462983976,0.7458155793272551,0.005983953189489624,0.08341682957106941,0.012969513621325911,0.01907582773389149
1979.166667/1974.166667,4.903736525367638,0.1533194085736432,4.899882852203129,2.957506992866186,0.00822168378158241,1.703179374239222,1.864687618980981,0.0019776617237439744,0.11492879078424934,0.5551537791120429,0.23056628430065823,0.5504403742883418,0.008396780660382215,0.1072612981591012,0.015919629755803237,0.024415733471632763
1979.416667/1974.416667,7.179706569804531,0.1845520789614979,7.181223724837559,3.9118438748952347,0.006448342208020066,1.3723135295335902,1.5393386205663657,0.0012640235394688413,0.06658354981584351,0.43179786126341524,0.2556898557318103,0.429432768453875,0.010831476309796207,0.15219673231671804,0.023124644568133138,0.03673653598267229
