virnumber	treename	fullname	genbank
1	garytvzcik	DENV2/India/1974-Poona-742295	FJ538920
2	jzuofypebl	DENV2/NewGuinea/1944-NewGuineaC	AF038403
3	wadxnbmgfp	DENV2/Vietnam/2006-32-135	EU482672
3	wadxnbmgfp	DENV2/Vietnam/2006-32-135-replicate2	EU482672
4	mkrswlfvqh	DENV2/Nicaragua/2006-BID-V571	EU482684
5	dlbsrjafhp	DENV2/Nicaragua/2005-BID-V533	EU482756
6	njgqhdlmbo	DENV2/Brazil/2004-BR-161	KT382189
7	gqtyzxhlrd	DENV2/Guyana/2000-CAREC-00-08221	KT382188
8	kbsfmqiuje	DENV2/Vietnam/2003-AC21	KT452796
8	kbsfmqiuje	DENV2/Vietnam/2003-AC21-replicate2	KT452796
9	awbqgjnsxp	DENV2/Vietnam/2003/DF670-AC20	KT452797
10	xzvhrnjtbc	DENV2/Cambodia/2008-BID-V3924	GQ868638
11	lgwqrmthdj	DENV2/Cambodia/2009/D2T0601085_KH09_KSP	KT452795
12	ofkwesntzu	DENV2/Cambodia/2007/BID-V4265	GU131927
13	qwidclaxpg	DENV2/Peru/1996-IQT-2913	AY158339
14	epzhgjamow	DENV2/Tonga/1974-Tonga/74	AY744147
15	cqzgtwpuye	DENV2/Malaysia/2008-DKD-811	FJ467493
16	tmsjkgizuo	DENV2/Senegal/1970/Sendak_HD_0674	EF105384
17	rbhwysdcxf	DENV3/Indonesia/1978/Sleman-1280-AC25	KT452798
18	czkrwmfets	DENV3/Vietnam/2006-BID-V1329	EU660409
19	njwqfsovba	DENV3/Vietnam/2007-BID-V1817	FJ432743
20	sdxjrbykqn	DENV3/Myanmar/2008/80931	KT452792
21	bqsktyizup	DENV3/Cambodia/2011/V0907330-AC23	KT452799
22	vtgzhowril	DENV3/Fiji/1992-29472-L11422-I	L11422
23	vyjckrnmlb	DENV3/PuertoRico/2006-429965	EU529698
24	cofimwgaxk	DENV3/Nicaragua/2009-BID-V4753	HQ541806
25	owublestfc	DENV3/Puerto-Rico/1963/PRS-228762-AC27	KT452800
26	epiwgmlfyh	DENV1/Thailand/1964-16007	AF180817
27	mlrovjtiwa	DENV1/Nauru/1974-WestPac	AY145121
28	ldvogikytf	DENV1/PuertoRico/2006-BID-V852	EU482591
29	oxwjzesqmk	DENV1/Bolivia/2010-FSB-3363	KT382187
30	ilwydbtvze	DENV1/Venezuela/2000-OBT-1298	KT382186
31	tzfcmpqbns	DENV1/Peru/2000-IQT-6152	AY780643
32	sunajohbef	DENV1/Vietnam/2008-BID-V1937	FJ461335
33	dbglpmkhqe	DENV1/Cambodia/2003-BID-V1995	FJ639680
34	xdwpetbsrk	DENV1/Cambodia/2003-BID-V1991	GQ868619
35	zeckpbnawy	DENV1/Myanmar/2005/61117	KT452791
36	gjxtfmcyaw	DENV4/Indonesia/1973/M30153-AC36	KT452801
37	dqgtehznmp	DENV4/Indonesia/1978-S1228	JN022608
38	viougbareh	DENV4/Dominica/1981-42A	AF326573
39	xhonifdrpm	DENV4/PuertoRico/1998-347751	EU854297
40	dgmnyolkpf	DENV4/PuertoRico/1999-BID-V2446	FJ882599
41	ewuofacdki	DENV4/Nicaragua/1999-703	KT452803
42	xzlkpvuodw	DENV4/Brazil/2012/BR-12	KT452794
43	bdlspectnr	DENV4/Thailand/1985-D85-052	AY780644
44	bcojuhmera	DENV4/Cambodia/2010-U0811386	KF543272
45	pxygfuimbd	DENV4/Cambodia/2011/V0624301-AC33	KT452802
46	uzwkhflgyn	DENV4/Myanmar/2008/81087	KT452793
47	txnmvljawg	DENV4/Malaysia/1973/P73-1120	JF262780
