,DENV1_IV,DENV1_II,DENV2_ASIANII,DENV3_V,DENV2_COSMOPOLITAN,DENV4_II,DENV1_I,DENV2_AMERICAN,DENV1_V,DENV2_ASIANAMERICAN,DENV3_III,DENV4_I,DENV2_ASIANI,DENV3_I,DENV4_III,DENV3_II
1972.166667,-2.677680314247831,-2.6776803096081787,-0.21559752367299384,-1.6757788274532792,-0.021978758665518017,-1.0456795993537993,-2.677680314247831,-0.9738307485913624,-2.685518756737264,-0.21559753773102647,-1.6757788274532792,-1.1408890035049915,-0.21559750976257536,-1.6757788274532792,-1.1408890035049915,-1.6757788116774954
1972.416667,-2.6728764439550745,-2.6728764390750763,-0.17737419905921586,-1.7205553924823356,0.013447424015651965,-1.0443513001558877,-2.6728764439550745,-0.950525226184658,-2.6939572649591095,-0.17737421432812195,-1.7205553924823356,-1.1398034220600228,-0.17737418403688465,-1.7205553924823356,-1.1398034220600228,-1.72055537684403
1972.666667,-2.5336176117373075,-2.5336176066639635,-0.1929354141601905,-1.864667201532593,0.016289606006997914,-1.0816065600624913,-2.5336176117373075,-0.9811070552752601,-2.549204657405125,-0.1929354322389356,-1.864667201532593,-1.1767623336985022,-0.1929353964478196,-1.864667201532593,-1.1767623336985022,-1.8646671864372801
1972.916667,-2.2613134770178105,-2.261313471782969,-0.2597532139875309,-2.1077856473472556,-0.011367887710384272,-1.1583893732753834,-2.2613134770178105,-1.0638524701168606,-2.2533457642142998,-0.2597532365139768,-2.1077856473472556,-1.2526491182359498,-0.2597531919725227,-2.1077856473472556,-1.2526491182359498,-2.107785633172623
1973.166667,-1.8583316762643118,-1.858331670863513,-0.37517586681610765,-2.444447820775821,-0.06762691680643101,-1.2768361105804342,-1.8583316762643118,-1.1959274168867766,-1.8109011085041735,-0.3751758954261953,-2.444447820775821,-1.369422106921492,-0.37517583889048284,-2.444447820775821,-1.369422106921492,-2.444447807846309
1973.416667,-1.3886077066944642,-1.3886077011621367,-0.5305123845162427,-2.7969281672614583,-0.1530033560643651,-1.4231978917473136,-1.3886077066944642,-1.3591330489835594,-1.2940512351658873,-0.5305124195235016,-2.7969281672614583,-1.5130765888053046,-0.5305123503389235,-2.7969281672614583,-1.5130765888053046,-2.7969281558345114
1973.666667,-0.9371875974488171,-0.9371875918611028,-0.7136254733258496,-3.0619087189598018,-0.26768918311666295,-1.5787923240236583,-0.9371875974488171,-1.5286028283260007,-0.7995232123077993,-0.7136255132952825,-3.0619087189598018,-1.6645939566811632,-0.7136254342319475,-3.0619087189598018,-1.6645939566811632,-3.0619087088170054
1973.916667,-0.5590285761030978,-0.55902857059327,-0.9357877876914011,-3.136352243833433,-0.43017550889765627,-1.733106631118049,-0.5590285761030978,-1.6948533524473846,-0.39224899346844166,-0.9357878293919233,-3.136352243833433,-1.8127121417762813,-0.9357877467080096,-3.136352243833433,-1.8127121417762813,-3.136352233927598
1974.166667,-0.25664425949107716,-0.2566442541459726,-1.1707659624714195,-3.0479607235823405,-0.6167146918761262,-1.897635806056017,-0.25664425949107716,-1.8470460030224554,-0.07290150762267,-1.1707660034927898,-3.0479607235823405,-1.9687570114644433,-1.170765921860732,-3.0479607235823405,-1.9687570114644433,-3.04796071305356
1974.416667,-0.009755402071660368,-0.009755397225436502,-1.5728172374558642,-2.7900749243692826,-0.9630060779659095,-1.8688767313288002,-0.009755402071660368,-2.0527952408583126,0.16788380319857787,-1.5728172710893635,-2.7900749243692826,-1.937132067581857,-1.5728172033820975,-2.7900749243692826,-1.937132067581857,-2.790074912976562
1974.666667,0.1682098342701276,0.16820983849432058,-2.009323490881003,-2.4809448232877096,-1.3551899146794006,-1.7194854459483664,0.1682098342701276,-2.2559239525490775,0.3272880185572189,-2.009323514802568,-2.4809448232877096,-1.788787239130765,-2.009323465093584,-2.4809448232877096,-1.788787239130765,-2.4809448112396875
1974.916667,0.3316986999331245,0.3316987033605675,-2.5312469051478144,-2.061145339380715,-1.8408595079483367,-1.498233429238809,0.3316986999331245,-2.484709308068769,0.46151271469393873,-2.5312469167901597,-2.061145339380715,-1.5694428033680599,-2.5312468893558098,-2.061145339380715,-1.5694428033680599,-2.0611453263019412
1975.166667,0.4936849246491175,0.49368492725826085,-3.049998096952206,-1.6067076204602688,-2.354338281149129,-1.273702606145658,0.4936849246491175,-2.7019386874704847,0.5926919333836191,-3.049998097762951,-1.6067076204602688,-1.3450663430409382,-3.0499980885999687,-1.6067076204602688,-1.3450663430409382,-1.6067076063655736
1975.416667,0.6113368005189814,0.6113368025072548,-3.400291089702609,-1.2407202794238614,-2.782942482030873,-1.0861833076905163,0.6113368005189814,-2.8239260125580365,0.6865205139355708,-3.4002910872592347,-1.2407202794238614,-1.1541817356161366,-3.4002910827327697,-1.2407202794238614,-1.1541817356161366,-1.2407202652720717
1975.666667,0.6788926239704016,0.6788926255506174,-3.5607982434273593,-0.9635222343956505,-3.124781004978275,-0.9391565103527597,0.6788926239704016,-2.835683378453321,0.7376437391243245,-3.5607982466585497,-0.9635222343956505,-0.9992600941902006,-3.5607982313938646,-0.9635222343956505,-0.9992600941902006,-0.9635222212994776
1975.916667,0.6907030309846901,0.6907030324066511,-3.5401981787122776,-0.7842929715563003,-3.326782082654032,-0.8788311882212885,0.6907030309846901,-2.7587117574816125,0.7416404514196433,-3.540198193160029,-0.7842929715563003,-0.9281190005885209,-3.5401981574399053,-0.7842929715563003,-0.9281190005885209,-0.78429295995898
1976.166667,0.6548073707031428,0.6548073721482934,-3.3925265550715453,-0.6761371882845805,-3.4235301599889127,-0.8734571783998144,0.6548073707031428,-2.6199193511042913,0.7028600981375335,-3.392526584037476,-0.6761371882845805,-0.9105995892153722,-3.3925265219250904,-0.6761371882845805,-0.9105995892153722,-0.676137178449124
1976.416667,0.606745341775641,0.6067453433433869,-3.230985453435319,-0.6437137284175485,-3.4320786810240267,-0.9017140373499151,0.606745341775641,-2.5027836904963308,0.6562537208298387,-3.230985493873694,-0.6437137284175485,-0.9306210699481271,-3.230985411248829,-0.6437137284175485,-0.9306210699481271,-0.6437137198800092
1976.666667,0.5744305784100971,0.5744305801174963,-3.1212511287984146,-0.656898974804199,-3.405377965705424,-0.9380950565787498,0.5744305784100971,-2.4432819440830444,0.628218686603621,-3.1212511761862918,-0.656898974804199,-0.9634897565804122,-3.121251081638577,-0.656898974804199,-0.9634897565804122,-0.6568989669632713
1976.916667,0.5631465879888726,0.5631465898195485,-3.085783285497092,-0.6911691549510428,-3.3687903089328404,-0.9722814011445072,0.5631465879888726,-2.4510695755513225,0.6224834588892962,-3.085783335032799,-0.6911691549510428,-0.9986205854856355,-3.0857832374497542,-0.6911691549510428,-0.9986205854856355,-0.6911691471463137
1977.166667,0.5603223605687201,0.5603223625510569,-3.099645720259333,-0.7558962555496981,-3.2969152006817297,-1.0235867222158568,0.5603223605687201,-2.5179334912428133,0.6277446120280681,-3.099645767650296,-0.7558962555496981,-1.0550689302329779,-3.0996456750570167,-0.7558962555496981,-1.0550689302329779,-0.7558962470859139
1977.416667,0.5498690030858775,0.5498690052620261,-3.1044015105840717,-0.8609431914182428,-3.152898394336053,-1.1138902619005027,0.5498690030858775,-2.5917022259598825,0.6271315653944176,-3.1044015523477912,-0.8609431914182428,-1.1527864000061248,-3.1044014713514034,-0.8609431914182428,-1.1527864000061248,-0.8609431818082398
1977.666667,0.5312770788608305,0.5312770812318964,-3.0740057999202692,-0.9937852972857454,-2.9574772391174022,-1.2258268821831828,0.5312770788608305,-2.6324434338956637,0.6179262918521847,-3.074005834481808,-0.9937852972857454,-1.271940311709305,-3.0740057680382944,-0.9937852972857454,-1.271940311709305,-0.99378528650512
1977.916667,0.49669939070157465,0.4966993933078604,-2.985015846156109,-1.157430064171298,-2.706533349112023,-1.367013748124665,0.49669939070157465,-2.6307957383012446,0.5936140874830118,-2.9850158737267796,-1.157430064171298,-1.4191289102189235,-2.9850158213465106,-1.157430064171298,-1.4191289102189235,-1.1574300523669174
1978.166667,0.4465354568049691,0.44653545969370956,-2.838382849449614,-1.3479692366585172,-2.4149543064496903,-1.5287750582596402,0.4465354568049691,-2.590013231098461,0.5549995103628966,-2.838382871360039,-1.3479692366585172,-1.5852126059731861,-2.838382830339164,-1.3479692366585172,-1.5852126059731861,-1.3479692241085968
1978.416667,0.38885840074913003,0.3888584038413869,-2.7133971864076707,-1.5277506951260085,-2.1735323238721325,-1.6154226465509784,0.38885840074913003,-2.545076738114883,0.5042664981203931,-2.713397203119804,-1.5277506951260085,-1.6768279960635397,-2.7133971724896204,-1.5277506951260085,-1.6768279960635397,-1.5277506822311846
1978.666667,0.3259694189625527,0.32596942210798696,-2.656834960199098,-1.679119608807102,-2.0293475557207357,-1.5715098467697604,0.3259694189625527,-2.5189758853714714,0.44046046601852407,-2.656834971325474,-1.679119608807102,-1.6400114235550358,-2.656834951818822,-1.679119608807102,-1.6400114235550358,-1.6791195959943985
1978.916667,0.2522458516711048,0.252245854747555,-2.6561342769829213,-1.8048685052006512,-1.9655907302035778,-1.417376494769554,0.2522458516711048,-2.5117802180564586,0.3595571445181396,-2.656134282381649,-1.8048685052006512,-1.494715983035147,-2.65613427426048,-1.8048685052006512,-1.494715983035147,-1.804868492795028
1979.166667,0.24186515094186656,0.24186515362059002,-2.8724300132805256,-1.7241522039701414,-2.1114630459529806,-1.1900598337484343,0.24186515094186656,-2.6016984199688036,0.3297523725629723,-2.8724300083439225,-1.7241522039701414,-1.275663210857269,-2.872430020817673,-1.7241522039701414,-1.275663210857269,-1.7241521909752444
1979.416667,0.23668586565662508,0.23668586786136336,-3.1268798831368887,-1.552812950840665,-2.3117309752180373,-0.9741552788609308,0.23668586565662508,-2.7051950067226276,0.3019469564765582,-3.1268798678160095,-1.552812950840665,-1.0660791895837045,-3.1268799009776185,-1.552812950840665,-1.0660791895837045,-1.5528129368353114
1979.666667,0.1602295670242998,0.1602295688289277,-3.2788856337653427,-1.37492553091161,-2.442059803387115,-0.8036060221138143,0.1602295670242998,-2.7521438024083547,0.20391035033238603,-3.278885610603437,-1.37492553091161,-0.8999770722001512,-3.278885659337413,-1.37492553091161,-0.8999770722001512,-1.374925515871981
1979.916667,0.01020187179908616,0.010201873263511296,-3.322246608001004,-1.1983849339548385,-2.490705534942144,-0.6856175106204107,0.01020187179908616,-2.7406749787028204,0.03478344903581487,-3.3222465793015474,-1.1983849339548385,-0.7846363112394243,-3.322246638971066,-1.1983849339548385,-0.7846363112394243,-1.1983849178370567
1980.166667,-0.20910680245946112,-0.20910680128307346,-3.2629749366184786,-1.0309057915075388,-2.4591932547570385,-0.6138634510059068,-0.20910680245946112,-2.67458111593871,-0.20091696045493057,-3.262974904402178,-1.0309057915075388,-0.7141351738909731,-3.262974970937412,-1.0309057915075388,-0.7141351738909731,-1.030905774305985
1980.416667,-0.48884621151242547,-0.4888462105929048,-3.0832839575045115,-0.923024132817051,-2.3292538473918256,-0.5888640334258727,-0.48884621151242547,-2.551135909636937,-0.48832505701988027,-3.083283924671012,-0.923024132817051,-0.6895120230077003,-3.0832839922593127,-0.923024132817051,-0.6895120230077003,-0.9230241148320383
