,DENV4,DENV2,DENV3,DENV1
1972.0,-0.36084085485406625,-2.0008676405864216,-1.213073341212049,-4.712718163347463
1972.25,-0.4358113278529856,-1.3804966092469657,-1.4765528572661264,-4.994639205633922
1972.5,-0.5328614567319392,-0.8909046512616511,-1.7926934114529431,-5.071040480553466
1972.75,-0.6495536039219284,-0.5177572813180863,-2.1530083487737075,-4.967180765986277
1973.0,-0.8335752085232323,-0.29106819620888136,-2.696640293328985,-4.466216301938902
1973.25,-1.088782965266083,-0.16406060081303797,-3.372930952970303,-3.661725480950575
1973.5,-1.4167514084450343,-0.09089727815171933,-4.102485306168395,-2.67736600723485
1973.75,-1.816356437162523,-0.04831899682834784,-4.8071491479659025,-1.6156754180432242
1974.0,-1.9554855033800111,-0.2502463811299763,-5.276359549138412,-0.8054085663515995
1974.25,-2.272876070216477,-1.2181264635311346,-4.266424852773471,-0.5300726134789155
1974.5,-2.4690561679724765,-1.9885493480009013,-3.352077746827709,-0.47781673719891127
1974.75,-2.5380197112744614,-2.5920642613449734,-2.5491724810627043,-0.6082435463178599
1975.0,-2.4780796085953956,-2.9262893667637644,-1.8698425719502536,-1.0132884526905854
1975.25,-2.293845192275316,-2.9686955209999977,-1.3307796372613043,-1.6941796494633812
1975.5,-2.024831862510611,-2.739394305652143,-0.9486522962683118,-2.574621535568933
1975.75,-1.7193492962566475,-2.292395286721496,-0.7729479813204946,-3.502807435701361
1976.0,-1.648087481872273,-1.604802600239093,-0.6487523589398906,-4.385857558948742
1976.25,-1.9034265300156936,-1.1420918718314832,-0.7865101190210072,-4.455471479131814
1976.5,-2.0274379544946433,-0.9496827678917225,-1.4426456756934276,-3.8677336019202064
1976.75,-2.082525220939177,-0.9400177463640326,-2.1951478970102407,-3.0698091356865493
1977.0,-2.154136048089898,-1.1746646371515554,-2.738777106686874,-2.2199222080716714
1977.25,-2.2473492110158544,-1.5789279517237866,-3.0009278393950902,-1.4602949978652677
1977.5,-2.336593668755368,-2.027718916774909,-3.049113869485415,-0.8740735449843064
1977.75,-2.416564293952752,-2.424021386966766,-2.9196658528553403,-0.5272484662251409
1978.0,-2.208442428383069,-3.0375212931764084,-2.7010249151404815,-0.3405113633000405
1978.25,-1.9992362600651932,-3.4250293425223863,-2.3167359254704913,-0.5464984719419286
1978.5,-2.035275540382135,-3.3021949768767533,-1.8116169017841544,-1.1384125809569554
1978.75,-2.059100919273682,-2.8121160498112094,-1.4323522178795352,-1.983930813035572
1979.0,-2.0240613112579573,-2.171367108554809,-1.257599510934246,-2.8344720692529872
1979.25,-1.9712634099741781,-1.5992271803378344,-1.2771742159137305,-3.439835193774255
1979.5,-1.9364821760139335,-1.2084655971011715,-1.4456644310928009,-3.696887795792093
1979.75,-1.9021278634860397,-1.0616710589563123,-1.7244777310195274,-3.5992233465381194
1980.0,-2.0607672301440587,-0.9210538176736384,-2.002206798590154,-3.303472153592148
1980.25,-2.2684295185655237,-1.0913093649780508,-2.399889914912865,-2.52787120154356
1980.5,-2.2275981776047677,-1.535678055153225,-2.7898664255774546,-1.7343573416645512
1980.75,-2.1346237672205,-2.1324630382131673,-2.918635321537919,-1.1017778730284125
1981.0,-2.064320252840477,-2.7965764048880897,-2.710339595709506,-0.7162637465619273
1981.25,-2.048419699394244,-3.245034404991863,-2.3657168616343762,-0.6283290339795151
1981.5,-2.101906039398765,-3.2808620806513678,-2.0605563067920944,-0.8441755731577705
1981.75,-2.191529701565874,-2.958332936182392,-1.8253102982558969,-1.3123270639958375
1982.0,-2.0981126645622448,-2.6982361286841257,-1.6690667297927861,-1.8220844769608424
1982.25,-1.9990130247058637,-2.150560232735494,-1.5431359399049431,-2.594790802653698
1982.5,-2.0006588487708434,-1.532154422223749,-1.4471252003925672,-3.3075615286128377
1982.75,-2.0303592032241244,-1.0632960204446227,-1.495126634921121,-3.698718141410131
1983.0,-2.087873336709756,-0.8309783587491134,-1.7966008210238629,-3.5720474835172666
1983.25,-2.127007676382054,-0.9100558680568728,-2.2244229781042995,-3.0260134774567735
1983.5,-2.111548528264283,-1.298900630256917,-2.5356342624204617,-2.341416579058337
1983.75,-2.0513196605364143,-1.904210053969539,-2.641801437893653,-1.6901688476003927
1984.0,-2.106330952025765,-2.3416954590192014,-2.5993564214805462,-1.2401171674744862
1984.25,-2.1272982794413817,-2.833397924295826,-2.4631887681835583,-0.8636150280792332
1984.5,-2.0413483858651347,-3.2585718136397266,-2.2990874700482244,-0.6884923304469139
1984.75,-1.9931917416127123,-3.4140781090544485,-2.0932567142205403,-0.7869734351122983
1985.0,-2.0085340227224346,-3.200190619912202,-1.8454016475424666,-1.2333737098228958
1985.25,-2.0526041161561204,-2.623388133026413,-1.65856404728346,-1.9529437035340054
1985.5,-2.077027933816854,-1.9378546870339406,-1.5762904200818983,-2.6963269590673056
1985.75,-2.1033700225155276,-1.3460735004153839,-1.6177963174694732,-3.220260159599614
1986.0,-2.070579743583426,-1.1135182067978318,-1.7918835403930418,-3.3115185092256993
1986.25,-2.0401035692378175,-0.9899187655754257,-1.9921700160286617,-3.2653076491580935
1986.5,-2.110129002940313,-1.042798193537902,-2.1809639151943494,-2.9536088883274347
1986.75,-2.1703584981812205,-1.3334568306157246,-2.379602575929017,-2.4040820952740365
1987.0,-2.1626839755618956,-1.8162945309721206,-2.546356199107079,-1.7621652943589032
1987.25,-2.088534163746272,-2.4471055262806396,-2.5374991504986606,-1.2143611594744257
1987.5,-1.9955474880959765,-3.0749047869860244,-2.351694123210245,-0.8653536017077528
1987.75,-1.9357982839235357,-3.4543979338758697,-2.1141857499017402,-0.7831180322988527
1988.0,-2.0241118719968587,-3.19315947911392,-1.9523754388931884,-1.1178532099960319
1988.25,-2.101986518381395,-2.817337559346733,-1.8343544477522413,-1.5338214745196288
1988.5,-2.0926265600591654,-2.3476709232621555,-1.785387539445741,-2.0618149772329373
1988.75,-2.069802336142804,-1.8080939514574372,-1.7548059070187012,-2.6547978053810564
1989.0,-2.0539205093988087,-1.3124363379535464,-1.7291009803083752,-3.192042172339269
1989.25,-2.0651054217044007,-0.9520469661366836,-1.7941122237443627,-3.476235388414553
1989.5,-2.1144988397671716,-0.8134189744797015,-2.0035887459201778,-3.3559934398329485
1989.75,-2.176606595380724,-0.9520225955602745,-2.2831925272306406,-2.8756782818283613
1990.0,-2.130062065797979,-1.5330158214497085,-2.427422677557121,-2.196999435195191
1990.25,-2.062806790832858,-2.140766552599218,-2.4335302558562812,-1.6503964007116416
1990.5,-2.044576014926645,-2.6713936491705277,-2.3333345016612927,-1.238195834241535
1990.75,-2.030762066693601,-3.0661723770495612,-2.211498765279052,-0.9790667909777861
1991.0,-2.0205781346866534,-3.2479248204029454,-2.119221895002773,-0.8997751499076272
1991.25,-2.021740431479144,-3.2070305748008816,-2.010291869258958,-1.048437124461015
1991.5,-2.0383018091003846,-2.8880095665185657,-1.8877699039437075,-1.4734187204373417
1991.75,-2.0513454625425402,-2.321948441777349,-1.7948234451568905,-2.11938265052322
1992.0,-2.0788589022514223,-1.6317649820964841,-1.775268970357124,-2.801607145294968
1992.25,-2.1082703971422325,-1.1661309305418168,-1.8385265587611825,-3.174572113554767
1992.5,-2.1094702550133175,-0.9702958642041514,-1.9911763553784239,-3.216557525404106
1992.75,-2.1139919317690685,-1.0121575446975464,-2.1443667543303127,-3.0169837692030717
1993.0,-2.12513558015912,-1.270566859124291,-2.2384524355588855,-2.6533451251577027
1993.25,-2.1329799393786923,-1.6741675270965022,-2.3187922162697183,-2.161560317255085
1993.5,-2.1144875260105063,-2.1804074432330256,-2.3630307357736977,-1.629574294982769
1993.75,-2.0620390827531496,-2.7370206346918105,-2.306573122082421,-1.1818671604726172
1994.0,-1.965125999817187,-3.309458351538226,-2.1233116421539364,-0.8896040064906496
1994.25,-1.9394805456235367,-3.432242279489152,-1.9865670486007008,-0.9292101262866104
1994.5,-2.0001914317475444,-3.1063302560562835,-1.900593650310284,-1.2803846618858867
1994.75,-2.0581482575317613,-2.5733114282946055,-1.869092431913331,-1.7869478822603015
1995.0,-2.0853530476861506,-1.998346200003335,-1.889576100989427,-2.3142246513210862
1995.25,-2.08647359690591,-1.505649674783481,-1.9036976834822412,-2.7916790448283653
1995.5,-2.079199806564029,-1.140368884604393,-1.91523692956798,-3.152694379263597
1995.75,-2.081537422646641,-0.9404095524871351,-1.9726943281865075,-3.2928586966797138
1996.0,-2.131955773503148,-0.8815056128885689,-2.13567715817566,-3.138361455432622
1996.25,-2.172693242343675,-1.2030292037810293,-2.2900294557420042,-2.621748098133291
1996.5,-2.1345890318115233,-1.7973874757881148,-2.3408321687922675,-2.014691323608094
1996.75,-2.0655061950185805,-2.456240966071985,-2.267930335414207,-1.4978225034952264
1997.0,-2.0082179511639997,-2.9890533402841677,-2.1331590097154534,-1.1570696988363782
1997.25,-1.995763945388488,-3.218833825426058,-2.0498803823716063,-1.0230218468138486
1997.5,-2.019997572638868,-3.156064411644756,-2.0275235292514253,-1.0839144864649517
1997.75,-2.0567921049793068,-2.8889309481418652,-2.0099681153032005,-1.3318088315756278
1998.0,-2.064154361164577,-2.530331391474227,-1.9435415120684896,-1.749472735292706
1998.25,-2.07230324880189,-1.9253024930765772,-1.918552407111791,-2.37134185100974
1998.5,-2.079445168781576,-1.3548673305969778,-1.9161993890026574,-2.9369881116187875
1998.75,-2.0943299439832326,-0.9843980523507269,-1.9834844399344154,-3.2252875637316247
1999.0,-2.123781835035466,-0.8911460520199191,-2.1234959485332547,-3.14907616441136
1999.25,-2.1385885506623783,-1.1140581609094031,-2.2154880055664288,-2.8193652828617886
1999.5,-2.126862364509027,-1.558107917035508,-2.2287444006491244,-2.3737853178063393
1999.75,-2.09584490862676,-2.0836422486122395,-2.210101725168323,-1.8979111175926768
2000.0,-2.076539480053537,-2.524310247917089,-2.213980210626743,-1.4726700614026302
2000.25,-2.0237352214139217,-3.028916216487149,-2.125682864086497,-1.1091656980124323
2000.5,-1.9703123802489066,-3.3644029722947155,-2.016914641216171,-0.9358700062402054
2000.75,-1.9721819672700798,-3.3211457048363493,-1.9421665274312372,-1.0520058004623325
2001.0,-2.0153263401960673,-2.891378741724756,-1.9073614929917975,-1.4734334250873788
2001.25,-2.0573454219534586,-2.2621320549530606,-1.9312243390187733,-2.0367981840747067
2001.5,-2.0797907346892672,-1.6681906102197952,-1.9807422670508354,-2.558776388040102
2001.75,-2.0945769555983076,-1.2367977044140974,-2.0266597614007456,-2.929465578586849
2002.0,-2.0934261049628446,-1.0623285230896493,-2.0352218593725335,-3.0965235125749713
2002.25,-2.103327739038668,-0.9822466610299584,-2.0907680748753132,-3.1111575250560586
2002.5,-2.1382601323916335,-1.1151212981786647,-2.17961695269372,-2.8545016167359796
2002.75,-2.1526449020177973,-1.5253194870057603,-2.2536167757625423,-2.355918835213899
2003.0,-2.115238385714183,-2.1353722405002684,-2.2445571291455844,-1.7923322446399632
2003.25,-2.0417454772490284,-2.788424797922749,-2.1257667634483415,-1.331562961379879
2003.5,-1.9827826747152961,-3.240774171237082,-1.9936112202332366,-1.0703319338143837
2003.75,-1.9800658416128978,-3.297744124486153,-1.9446860491305418,-1.0650039847704063
2004.0,-2.030825038334244,-2.9574704687689732,-2.0021890462971346,-1.2970154465996468
2004.25,-2.067546441123106,-2.584558903340003,-2.0187252401160443,-1.6166694154208459
2004.5,-2.0836080253269795,-2.107912591729245,-2.021669932994753,-2.0743094499490216
2004.75,-2.0852538075800746,-1.5760822726071662,-2.012865837226738,-2.61329808258602
2005.0,-2.0792941166879952,-1.131004371001299,-2.010746064820405,-3.0664554474903003
2005.25,-2.0920454814455725,-0.8787730936543051,-2.0798629085702935,-3.2368185163298273
2005.5,-2.1278495164578484,-0.9130410876462011,-2.193686648159322,-3.052922747736628
2005.75,-2.1454867977189185,-1.2802904144657736,-2.2417860990281246,-2.619936688787182
2006.0,-2.110118503031466,-1.9056841911729654,-2.1716865820794915,-2.1000107237160757
2006.25,-2.0684962016307553,-2.4338203543479486,-2.117426584884901,-1.6677568591363936
