,DENV1_I,DENV1_II,DENV1_III,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV2_SYLVATIC,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_SYLVATIC
1970.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.25,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.3333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.4167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.5,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.5833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.6667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.75,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.8333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1970.9167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.25,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.3333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.4167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.5,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.5833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.6667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.75,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.8333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1971.9167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.25,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.3333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.4167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.5,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.5833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.6667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.75,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.8333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1972.9167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.25,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.3333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.4167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.5,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.5833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.6667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.75,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.8333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1973.9167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.25,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.3333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.4167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.5,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.5833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.6667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.75,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.8333,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1974.9167,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1975.0,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1975.0833,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
1975.1667,0.0,0.0,0.0,0.0,0.0007,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.9891,0.0014
