# BEAST v1.8.2, r6687
# Generated Tue Nov 22 17:53:04 PST 2016 [seed=1479865983172]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-154525.12087005924	-136.40822727752078	-154388.71264278173	18.131311740625577	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-154388.71264278173	0.0	-69.93423094324459
5000	-69079.07073823806	-318.7331253530416	-68760.33761288502	22.257280099231345	20.759777633323075	0.046759518718959614	0.7883524548341556	0.07669203507089177	0.012954613146178733	0.0892648336529967	0.2626240519400216	0.27069288857429474	0.22897516472611693	0.23770789475956686	0.1438443387457377	0.00682345301643141	0.006823453016431413	-68760.33761288502	0.0	-315.56847160340146
10000	-58810.772540511876	-379.25422860126133	-58431.518311910615	31.81669261167234	49.326264533796504	0.029162347556817413	0.37966636342733173	0.05671966197386879	0.014452420233192797	0.02398344591963363	0.3241163627052721	0.21594561709017926	0.24907955953157127	0.21085846067297756	0.14787798863086665	0.002247274989219133	0.002247274989219132	-58431.518311910615	0.0	-379.4064624124099
15000	-51733.21541374111	-427.73920311779534	-51305.47621062332	58.2688670912716	112.57657398610212	0.020981586689771427	0.3151876417871997	0.05611774818962833	0.012787176466523244	0.01860109150899572	0.31349303168954606	0.2197320346888458	0.2542778904245356	0.21249704319707274	0.19184390970952692	9.496615741841698E-4	9.496615741841701E-4	-51305.47621062332	0.0	-428.8018434113934
20000	-49645.91055422596	-430.9086937154662	-49215.00186051049	64.63407719541954	94.13920396457044	0.02306286405000217	0.29376620136624837	0.04379105721879529	0.012793734596983629	0.020539467013793025	0.3247825443613267	0.20725976010334052	0.25929375974112895	0.208663935794204	0.21653829624359774	8.318820086998991E-4	8.318820086998997E-4	-49215.00186051049	0.0	-432.35957077119934
25000	-49409.29345084104	-426.7287137020283	-48982.564737139015	64.97771866460536	88.73936216430361	0.026402542857225198	0.30064938984173406	0.041798975906489726	0.019104483368370197	0.01913163566130462	0.33008477929803715	0.20859516203080095	0.2554668104128126	0.20585324825834933	0.2164186532292302	7.85601358587041E-4	7.856013585870414E-4	-48982.564737139015	0.0	-427.87997419299086
30000	-49406.22575692099	-431.4853889380034	-48974.74036798299	64.89740711781016	104.36820149232145	0.025633081193385074	0.30496067711616753	0.042458371856968255	0.012135631063206514	0.017347369512280306	0.32241839674300876	0.2125467092204156	0.25644237385496677	0.20859252018160887	0.21655608741783244	7.921325870300526E-4	7.921325870300531E-4	-48974.74036798299	0.0	-432.98775211105163
35000	-49409.139609162834	-428.3441179906286	-48980.795491172204	63.660760914491085	91.8278090573645	0.029064163879126748	0.29532515397190084	0.05115119683494192	0.015599696783189036	0.018886125526191136	0.3270003389032973	0.21019358898177018	0.26069091526576843	0.20211515684916395	0.20983176257797895	7.814974407276212E-4	7.814974407276212E-4	-48980.795491172204	0.0	-429.41700019937895
40000	-49407.44126504608	-434.3523415545527	-48973.08892349153	68.351010978366	88.47620197632581	0.02336711496115426	0.29396408932077145	0.050092491026562755	0.014085878238521114	0.02833600086926676	0.3292636555164209	0.21193131496423745	0.2563811419175362	0.2024238876018055	0.22512518995390174	7.973102997377914E-4	7.973102997377917E-4	-48973.08892349153	0.0	-435.3501783038487
45000	-49405.3406636656	-440.7992914323046	-48964.541372233296	68.74188006012402	91.0145523685605	0.026459955713718713	0.32171441432046094	0.047006256898630874	0.014723358698102252	0.020703042504962688	0.32945198875384124	0.21107045557105208	0.252443036714317	0.20703451896078973	0.22624067536835105	7.259379655203594E-4	7.259379655203594E-4	-48964.541372233296	0.0	-441.9762461549017
50000	-49406.58702724928	-435.96994369914466	-48970.61708355014	68.54438207290494	99.50349108982162	0.024894840249859947	0.34793035774080927	0.05121768141237169	0.014393076702519186	0.024074261964394397	0.31674752469491785	0.22667000694619321	0.25254642058670707	0.20403604777218196	0.22053903636291722	7.538397531634786E-4	7.538397531634782E-4	-48970.61708355014	0.0	-436.8085540307504
55000	-49405.12325570445	-440.27263717003524	-48964.850618534416	72.19749431444973	111.18595205416194	0.02761617914077079	0.31259219029329266	0.049287641092471635	0.014631139922663359	0.024824605411534258	0.32835759571576423	0.20665613370192126	0.2610341519517409	0.20395211863057378	0.2161463657788643	6.906702730517609E-4	6.906702730517602E-4	-48964.850618534416	0.0	-441.0958613904808
60000	-49396.11377005873	-439.41104756725264	-48956.70272249148	71.48192221047107	92.57055286860195	0.029675440841556298	0.33070996326173996	0.04710200718244606	0.013185568034199228	0.02137817225188576	0.31673395512016794	0.21371016720273303	0.26253519680933457	0.20702068086776457	0.2067637576319746	7.246274237547447E-4	7.246274237547449E-4	-48956.70272249148	0.0	-440.54768109731674
65000	-49396.47305583931	-438.35959444247175	-48958.11346139684	74.22709114849924	88.8944634135652	0.029532716071022654	0.31633040885837116	0.04434229632873438	0.012198605165524082	0.021404082317819456	0.3201046820065289	0.21361997504771393	0.259260153314438	0.20701518963131924	0.2151908880970311	7.244778580150701E-4	7.244778580150703E-4	-48958.11346139684	0.0	-439.69819106281346
70000	-49398.80281704101	-440.5054984104822	-48958.29731863053	73.72641285377806	115.18958727514789	0.028092891425661806	0.30984862309754807	0.04479254181104516	0.015353170954010802	0.024035151311541277	0.31996308156612496	0.2161944361178116	0.25806978630973165	0.20577269600633197	0.2256148565787378	7.064659789450011E-4	7.064659789450016E-4	-48958.29731863053	0.0	-441.31887255732846
75000	-49399.18479664316	-440.6986297187227	-48958.486166924435	73.07458563628255	99.42143214010683	0.025988210957557663	0.2974393989352786	0.04408985466899571	0.011704953798363456	0.020197667325451966	0.31926534568212617	0.21279223386744983	0.2576991124356135	0.21024330801481086	0.22032266046747517	7.130455810047433E-4	7.130455810047435E-4	-48958.486166924435	0.0	-442.2120391868394
80000	-49417.39312300856	-441.7004740382194	-48975.69264897034	71.15039545684775	115.60573180515871	0.032640715950944615	0.3309382759027389	0.045103017898979296	0.01639510780168577	0.02219169199786462	0.3308651995391778	0.20873929620499201	0.2567100576354721	0.2036854466203583	0.20454898154021378	7.046369659023027E-4	7.046369659023026E-4	-48975.69264897034	0.0	-442.3556680049738
85000	-49395.58426022157	-437.3898241985251	-48958.19443602305	73.77041988856698	95.65041833754744	0.02426608988566559	0.29619042208275687	0.04183531720910515	0.017332725162852756	0.023326473553815064	0.32260595548104526	0.2104280549449692	0.2621107235929075	0.2048552659810782	0.2199073082512447	7.198795921566879E-4	7.19879592156688E-4	-48958.19443602305	0.0	-438.5425011430076
90000	-49437.69754979152	-448.2872473707044	-48989.410302420816	78.02137945940636	129.88816042895112	0.037787969880045694	0.3235016992823949	0.04295480805387522	0.018928153633091707	0.016068153178587036	0.3240487630879316	0.20543962159374982	0.26506327966785603	0.20544833565046275	0.21058621163296454	6.763208169033591E-4	6.763208169033594E-4	-48989.410302420816	0.0	-448.9531786589311
95000	-49413.08779078949	-450.67133896306404	-48962.41645182643	74.89182346939954	115.43570139344291	0.024923624736966892	0.3125537956815773	0.0494607637507713	0.014224708080935145	0.021143289264064426	0.3277653091083771	0.21241854240471494	0.25330890090417296	0.20650724758273528	0.21306857892130038	6.51167590945319E-4	6.511675909453195E-4	-48962.41645182643	0.0	-451.7952346898925
