virus_strain	serum_strain	serum_id	source	titer
DENV1/BOLIVIA/FSB3363/2010	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	20
DENV1/BOLIVIA/FSB3363/2010	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	17
DENV1/BOLIVIA/FSB3363/2010	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	12
DENV1/BOLIVIA/FSB3363/2010	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	10
DENV1/BOLIVIA/FSB3363/2010	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	13
DENV1/BOLIVIA/FSB3363/2010	DENV2/TONGA/DELTA30/1974	13	monovalent	43
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	54
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	66
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	28
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	16
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	26
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	43	monovalent	15
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	23
DENV1/CAMBODIA/BIDV1991/2003	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	48	monovalent	10
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	1	monovalent	20
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	3	monovalent	13
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	5	monovalent	19
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	7	monovalent	19
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	10	monovalent	18
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	11	monovalent	24
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	13	monovalent	156
DENV1/CAMBODIA/BIDV1991/2003	DENV2/TONGA/DELTA30/1974	22	monovalent	15
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	19
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	13
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	14
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	16
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	13
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV2/TONGA/DELTA30/1974	1	monovalent	12
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV2/TONGA/DELTA30/1974	13	monovalent	19
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	34
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	27
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	25
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	17
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	26
DENV1/PUERTO_RICO/BIDV852/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	16
DENV1/PUERTO_RICO/BIDV852/2006	DENV2/TONGA/DELTA30/1974	3	monovalent	11
DENV1/PUERTO_RICO/BIDV852/2006	DENV2/TONGA/DELTA30/1974	5	monovalent	13
DENV1/PUERTO_RICO/BIDV852/2006	DENV2/TONGA/DELTA30/1974	10	monovalent	11
DENV1/PUERTO_RICO/BIDV852/2006	DENV2/TONGA/DELTA30/1974	11	monovalent	11
DENV1/PUERTO_RICO/BIDV852/2006	DENV2/TONGA/DELTA30/1974	13	monovalent	110
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	756
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	8	monovalent	54
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	117
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	161
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	399
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	66
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	43	monovalent	93
DENV1/THAILAND/16007/1964	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	194
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	1	monovalent	12
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	2	monovalent	13
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	3	monovalent	11
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	5	monovalent	10
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	6	monovalent	12
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	7	monovalent	23
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	10	monovalent	21
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	11	monovalent	10
DENV1/THAILAND/16007/1964	DENV2/TONGA/DELTA30/1974	13	monovalent	640
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	45
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	8	monovalent	11
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	37
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	28
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	16
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	18
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	43	monovalent	13
DENV1/VENEZUELA/OBT1298/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	18
DENV1/VENEZUELA/OBT1298/2000	DENV2/TONGA/DELTA30/1974	5	monovalent	16
DENV1/VENEZUELA/OBT1298/2000	DENV2/TONGA/DELTA30/1974	10	monovalent	13
DENV1/VENEZUELA/OBT1298/2000	DENV2/TONGA/DELTA30/1974	13	monovalent	72
DENV1/VIETNAM/BIDV1937/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	18
DENV1/VIETNAM/BIDV1937/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	8	monovalent	14
DENV1/VIETNAM/BIDV1937/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	29
DENV1/VIETNAM/BIDV1937/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	20
DENV1/VIETNAM/BIDV1937/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	44	monovalent	13
DENV1/VIETNAM/BIDV1937/2008	DENV2/TONGA/DELTA30/1974	7	monovalent	14
DENV1/VIETNAM/BIDV1937/2008	DENV2/TONGA/DELTA30/1974	10	monovalent	16
DENV1/VIETNAM/BIDV1937/2008	DENV2/TONGA/DELTA30/1974	11	monovalent	13
DENV1/VIETNAM/BIDV1937/2008	DENV2/TONGA/DELTA30/1974	13	monovalent	47
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	17
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	16
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	13
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	16
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	20
DENV2/CAMBODIA/BIDV3924/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	43	monovalent	11
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	2	monovalent	31
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	3	monovalent	27
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	5	monovalent	50
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	7	monovalent	42
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	10	monovalent	45
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	11	monovalent	55
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	13	monovalent	64
DENV2/CAMBODIA/BIDV3924/2008	DENV2/TONGA/DELTA30/1974	22	monovalent	16
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	5	monovalent	10
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	6	monovalent	13
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	10	monovalent	13
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	11	monovalent	13
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	13	monovalent	24
DENV2/CAMBODIA/BIDV4265/2007	DENV2/TONGA/DELTA30/1974	22	monovalent	10
DENV2/GUYANA/08221/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	29
DENV2/GUYANA/08221/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	8	monovalent	13
DENV2/GUYANA/08221/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	15	monovalent	11
DENV2/GUYANA/08221/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	26
DENV2/GUYANA/08221/2000	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	16
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	1	monovalent	57
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	2	monovalent	16
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	3	monovalent	20
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	5	monovalent	27
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	7	monovalent	23
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	10	monovalent	16
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	11	monovalent	15
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	13	monovalent	60
DENV2/GUYANA/08221/2000	DENV2/TONGA/DELTA30/1974	22	monovalent	24
DENV2/INDIA/742295/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	13
DENV2/INDIA/742295/1974	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	15
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	1	monovalent	17
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	2	monovalent	12
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	3	monovalent	11
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	5	monovalent	15
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	7	monovalent	14
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	10	monovalent	17
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	11	monovalent	15
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	13	monovalent	141
DENV2/INDIA/742295/1974	DENV2/TONGA/DELTA30/1974	22	monovalent	22
DENV2/MALAYSIA/DKD811/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	21
DENV2/MALAYSIA/DKD811/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	14
DENV2/MALAYSIA/DKD811/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	18
DENV2/MALAYSIA/DKD811/2008	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	16
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	1	monovalent	59
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	2	monovalent	27
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	3	monovalent	23
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	5	monovalent	21
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	6	monovalent	36
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	7	monovalent	34
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	10	monovalent	29
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	11	monovalent	35
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	13	monovalent	179
DENV2/MALAYSIA/DKD811/2008	DENV2/TONGA/DELTA30/1974	22	monovalent	41
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	11
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	1	monovalent	31
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	2	monovalent	15
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	3	monovalent	12
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	5	monovalent	25
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	6	monovalent	20
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	7	monovalent	15
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	10	monovalent	16
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	11	monovalent	13
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	13	monovalent	112
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV2/TONGA/DELTA30/1974	22	monovalent	12
DENV2/NICARAGUA/BIDV533/2005	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	19	monovalent	10
DENV2/NICARAGUA/BIDV533/2005	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	38	monovalent	10
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	1	monovalent	52
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	2	monovalent	19
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	3	monovalent	13
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	5	monovalent	29
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	10	monovalent	35
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	11	monovalent	33
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	13	monovalent	109
DENV2/NICARAGUA/BIDV533/2005	DENV2/TONGA/DELTA30/1974	22	monovalent	19
DENV2/NICARAGUA/BIDV571/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	3	monovalent	14
DENV2/NICARAGUA/BIDV571/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	8	monovalent	10
DENV2/NICARAGUA/BIDV571/2006	DENV1/NAURU/WESTERNPACIFICDELTA30/1974	13	monovalent	13
